Item,Quantity,UNIT PRICE
paint,1,41
apple,6,23
mango,7,45
shoes,3,40
paint,4,29
mango,7,40
mango,10,14
plate,4,23
mango,2,29
bread,4,33
sugar,10,23
shoes,9,29
apple,1,40
apple,6,40
apple,10,76
plate,14,14
bread,4,45
apple,2,29
plate,5,40
bread,6,21
apple,10,56
soap,4,29
soap,1,21
rice,4,45
paint,4,23
rice,2,23
plate,3,33
soap,7,45
plate,10,45
soap,14,23
rice,14,40
sugar,14,41
rice,9,29
shoes,1,56
sugar,10,33
wheat,9,21
sugar,5,14
apple,4,76
bread,3,29
plate,14,21
bread,10,45
sugar,3,41
paint,4,33
paint,9,76
paint,1,56
plate,1,33
rice,10,29
apple,7,23
mango,14,33
shoes,10,76
paint,6,45
plate,9,14
mango,2,14
plate,7,40
rice,10,21
soap,14,23
apple,6,23
wheat,7,40
plate,14,29
apple,14,29
rice,6,40
bread,14,29
plate,4,14
wheat,1,29
paint,3,21
wheat,2,40
paint,6,29
mango,3,14
bread,3,14
paint,6,45
sugar,9,29
apple,1,76
shoes,9,41
paint,5,41
mango,7,23
paint,4,29
rice,14,33
plate,3,23
bread,10,33
plate,10,23
mango,2,40
paint,9,14
rice,1,45
bread,4,21
paint,10,76
plate,10,76
paint,9,14
paint,9,23
mango,4,23
soap,2,33
soap,1,40
apple,2,41
soap,14,23
shoes,7,23
wheat,7,56
bread,2,14
apple,7,33
mango,9,76
paint,10,33
mango,10,23
