Date,Open,High,Low
29/09/2014,100.589996,100.690002,98.040001
06/10/2014,99.949997,102.379997,98.309998
13/10/2014,101.330002,101.779999,95.18
20/10/2014,98.32,105.489998,98.220001
27/10/2014,104.849998,108.040001,104.699997
03/11/2014,108.220001,110.300003,107.720001
10/11/2014,109.019997,114.190002,108.400002
17/11/2014,114.269997,117.57,113.300003
24/11/2014,116.849998,119.75,116.620003
01/12/2014,118.809998,119.25,111.269997
08/12/2014,114.099998,114.849998,109.349998
15/12/2014,110.699997,113.239998,106.260002
22/12/2014,112.160004,114.519997,111.970001
29/12/2014,113.790001,114.769997,107.349998
05/01/2015,108.290001,113.25,104.629997
12/01/2015,112.599998,112.800003,105.199997
19/01/2015,107.839996,113.75,106.5
26/01/2015,113.739998,120,109.029999
02/02/2015,118.050003,120.510002,116.080002
09/02/2015,118.550003,127.480003,118.43
16/02/2015,127.489998,129.5,126.919998
23/02/2015,130.020004,133.600006,126.610001
02/03/2015,129.25,130.279999,125.760002
09/03/2015,127.959999,129.570007,121.629997
16/03/2015,123.879997,129.25,122.870003
23/03/2015,127.120003,128.039993,122.599998
30/03/2015,124.050003,126.489998,123.099998
06/04/2015,124.470001,128.119995,124.330002
13/04/2015,128.369995,128.570007,124.459999
20/04/2015,125.57,130.630005,125.169998
27/04/2015,132.309998,134.539993,124.580002
04/05/2015,129.5,130.570007,123.360001
11/05/2015,127.389999,129.490005,124.82
18/05/2015,128.380005,132.970001,128.360001
25/05/2015,132.600006,132.910004,129.119995
01/06/2015,130.279999,131.389999,128.360001
08/06/2015,128.899994,130.179993,125.620003
15/06/2015,126.099998,128.309998,125.709999
22/06/2015,127.489998,129.800003,126.510002
29/06/2015,125.459999,126.940002,124.480003
06/07/2015,124.940002,126.230003,119.220001
13/07/2015,125.029999,129.619995,124.32
20/07/2015,130.970001,132.970001,121.989998
27/07/2015,123.089996,123.910004,120.910004
03/08/2015,121.5,122.57,112.099998
10/08/2015,116.529999,119.989998,109.629997
17/08/2015,116.040001,117.650002,105.650002
24/08/2015,94.870003,113.309998,92
