company_location,bean_origin,id,manufacturer,year_reviewed,bar_name,cocoa_percent,num_ingredients,ingredients,review,rating,new column
Amsterdam,Belize,1,1,1,1,1,1,1,1,1,1
Amsterdam,Blend,1,1,1,1,1,1,1,1,1,1
Amsterdam,Congo,1,1,1,1,1,1,1,1,1,1
Amsterdam,Dominican Republic,1,1,1,1,1,1,1,1,1,1
Amsterdam,Madagascar,1,1,1,1,1,1,1,1,1,1
Amsterdam,Mexico,2,2,2,2,2,2,2,2,2,2
Amsterdam,Papua New Guinea,1,1,1,1,1,1,1,1,1,1
Amsterdam,Peru,1,1,1,1,1,1,1,1,1,1
Amsterdam,Philippines,1,1,1,1,1,1,1,1,1,1
Amsterdam,Sulawesi,1,1,1,1,1,1,1,1,1,1
Amsterdam,Vietnam,1,1,1,1,1,1,1,1,1,1
Argentina,Bolivia,1,1,1,1,1,0,0,1,1,0
Argentina,Brazil,1,1,1,1,1,1,1,1,1,1
Argentina,Ecuador,3,3,3,3,3,2,2,3,3,2
Argentina,Venezuela,4,4,4,4,4,1,1,4,4,1
Australia,Australia,3,3,3,3,3,3,3,3,3,3
Australia,Belize,1,1,1,1,1,1,1,1,1,1
Australia,Blend,5,5,5,5,5,4,4,5,5,4
Australia,Bolivia,3,3,3,3,3,3,3,3,3,3
Australia,Brazil,2,2,2,2,2,2,2,2,2,2
Australia,Dominican Republic,3,3,3,3,3,3,3,3,3,3
Australia,Ecuador,4,4,4,4,4,4,4,4,4,4
Australia,Fiji,1,1,1,1,1,1,1,1,1,1
Australia,Guatemala,1,1,1,1,1,1,1,1,1,1
Australia,Haiti,1,1,1,1,1,1,1,1,1,1
Australia,Madagascar,6,6,6,6,6,6,6,6,6,6
Australia,Papua New Guinea,7,7,7,7,7,6,6,7,7,6
Australia,Peru,1,1,1,1,1,1,1,1,1,1
Australia,Solomon Islands,4,4,4,4,4,4,4,4,4,4
Australia,Tanzania,2,2,2,2,2,2,2,2,2,2
Australia,Trinidad,2,2,2,2,2,2,2,2,2,2
Australia,Vanuatu,4,4,4,4,4,4,4,4,4,4
Australia,Venezuela,2,2,2,2,2,2,2,2,2,2
Australia,Vietnam,1,1,1,1,1,1,1,1,1,1
Austria,Belize,1,1,1,1,1,1,1,1,1,1
Austria,Blend,4,4,4,4,4,4,4,4,4,4
Austria,Bolivia,2,2,2,2,2,2,2,2,2,2
Austria,Brazil,1,1,1,1,1,1,1,1,1,1
Austria,Colombia,2,2,2,2,2,2,2,2,2,2
Austria,Congo,3,3,3,3,3,3,3,3,3,3
Austria,Dominican Republic,2,2,2,2,2,2,2,2,2,2
Austria,Ecuador,2,2,2,2,2,2,2,2,2,2
Austria,Haiti,1,1,1,1,1,1,1,1,1,1
Austria,India,2,2,2,2,2,2,2,2,2,2
Austria,Madagascar,1,1,1,1,1,1,1,1,1,1
Austria,Panama,1,1,1,1,1,1,1,1,1,1
Austria,Papua New Guinea,1,1,1,1,1,1,1,1,1,1
Austria,Peru,3,3,3,3,3,3,3,3,3,3
Austria,Tanzania,2,2,2,2,2,2,2,2,2,2
Austria,Trinidad,2,2,2,2,2,2,2,2,2,2
Belgium,Belize,1,1,1,1,1,1,1,1,1,1
Belgium,Blend,7,7,7,7,7,6,6,7,7,6
Belgium,Brazil,2,2,2,2,2,2,2,2,2,2
Belgium,Cameroon,2,2,2,2,2,2,2,2,2,2
Belgium,China,1,1,1,1,1,1,1,1,1,1
Belgium,Colombia,1,1,1,1,1,1,1,1,1,1
Belgium,Costa Rica,3,3,3,3,3,3,3,3,3,3
Belgium,Cuba,2,2,2,2,2,2,2,2,2,2
Belgium,DR Congo,1,1,1,1,1,1,1,1,1,1
Belgium,Dominican Republic,1,1,1,1,1,1,1,1,1,1
Belgium,Ecuador,5,5,5,5,5,4,4,5,5,4
Belgium,Ghana,1,1,1,1,1,1,1,1,1,1
Belgium,Grenada,1,1,1,1,1,0,0,1,1,0
Belgium,India,4,4,4,4,4,4,4,4,4,4
Belgium,Indonesia,2,2,2,2,2,2,2,2,2,2
Belgium,Madagascar,4,4,4,4,4,4,4,4,4,4
Belgium,Mexico,2,2,2,2,2,2,2,2,2,2
Belgium,Nicaragua,3,3,3,3,3,3,3,3,3,3
Belgium,Panama,1,1,1,1,1,1,1,1,1,1
Belgium,Papua New Guinea,2,2,2,2,2,2,2,2,2,2
Belgium,Peru,6,6,6,6,6,6,6,6,6,6
Belgium,Sao Tome,1,1,1,1,1,1,1,1,1,1
Belgium,Tanzania,1,1,1,1,1,1,1,1,1,1
Belgium,Trinidad,2,2,2,2,2,2,2,2,2,2
Belgium,Venezuela,5,5,5,5,5,5,5,5,5,5
Belgium,Vietnam,2,2,2,2,2,2,2,2,2,2
Bolivia,Bolivia,2,2,2,2,2,2,2,2,2,2
Brazil,Brazil,24,24,24,24,24,23,23,24,24,23
Brazil,Puerto Rico,1,1,1,1,1,1,1,1,1,1
Canada,Belize,6,6,6,6,6,6,6,6,6,6
Canada,Blend,24,24,24,24,24,23,23,24,24,23
Canada,Bolivia,7,7,7,7,7,7,7,7,7,7
Canada,Brazil,3,3,3,3,3,3,3,3,3,3
Canada,Colombia,6,6,6,6,6,6,6,6,6,6
Canada,Dominican Republic,17,17,17,17,17,17,17,17,17,17
Canada,Ecuador,8,8,8,8,8,8,8,8,8,8
Canada,Fiji,1,1,1,1,1,1,1,1,1,1
Canada,Ghana,1,1,1,1,1,1,1,1,1,1
Canada,Grenada,1,1,1,1,1,1,1,1,1,1
Canada,Guatemala,9,9,9,9,9,9,9,9,9,9
Canada,Haiti,4,4,4,4,4,4,4,4,4,4
Canada,Honduras,2,2,2,2,2,2,2,2,2,2
Canada,India,1,1,1,1,1,1,1,1,1,1
Canada,Indonesia,1,1,1,1,1,1,1,1,1,1
Canada,Jamaica,1,1,1,1,1,1,1,1,1,1
